DateTime|SurfTermo|TermoSBE|ConductSBE|ScSBE|Lat|Lon|Speed|Cours
10.08.2021  14:24:10|-100.000|011.736|007.41476|116.68673|51.665096|104.965096|007.97|147.00
10.08.2021  14:24:18|-100.000|011.730|007.41477|116.72070|51.664845|104.965340|007.92|148.00
10.08.2021  14:24:23|-100.000|011.742|007.41474|116.63480|51.664688|104.965500|007.99|148.30
10.08.2021  14:24:31|-100.000|011.748|007.41481|116.72873|51.664444|104.965744|007.87|148.90
10.08.2021  14:24:36|-100.000|011.739|007.41479|116.72666|51.664280|104.965904|007.87|147.80
10.08.2021  14:24:44|-100.000|011.732|007.41472|116.63391|51.664032|104.966156|008.02|148.30
10.08.2021  14:25:10|-100.0|11.6656|7.4146|116.648266|51.663219|104.966988|7.95|147.0
10.08.2021  14:25:15|-100.0|11.6827|7.41464|116.659268|51.663063|104.967148|7.92|146.6
10.08.2021  14:25:23|-100.0|11.6979|7.41469|116.692757|51.662815|104.9674|7.95|147.9
10.08.2021  14:25:28|-100.0|11.6878|7.41462|116.610378|51.662663|104.96756|7.89|145.9
10.08.2021  14:25:36|-100.0|11.646|7.41461|116.727134|51.662418|104.967819|7.95|147.9
10.08.2021  14:25:41|-100.0|11.6714|7.41462|116.662414|51.662266|104.967972|7.88|148.6
10.08.2021  14:25:49|-100.0|11.6363|7.41457|116.692457|51.662018|104.968231|7.77|147.2
10.08.2021  14:25:54|-100.0|11.6543|7.41457|116.63513|51.661861|104.968384|7.84|148.2
10.08.2021  14:26:02|-100.0|11.6473|7.41455|116.624791|51.661613|104.968628|7.94|148.0
10.08.2021  14:26:07|-100.0|11.6254|7.41451|116.629081|51.661453|104.968773|8.08|150.2
10.08.2021  14:26:15|-100.0|11.6131|7.41451|116.668306|51.661194|104.969009|7.97|150.2
10.08.2021  14:26:20|-100.0|11.6146|7.41449|116.630701|51.661045|104.969154|7.74|149.6
10.08.2021  14:26:28|-100.0|11.6275|7.41452|116.638762|51.660789|104.969383|7.91|151.2
10.08.2021  14:26:33|-100.0|11.6029|7.41447|116.635319|51.660629|104.969536|7.97|150.5
10.08.2021  14:26:41|-100.0|11.6246|7.4145|116.61528|51.660374|104.969772|7.96|150.0
10.08.2021  14:26:46|-100.0|11.5895|7.41445|116.645339|51.660213|104.969917|7.99|151.0
10.08.2021  14:26:54|-100.0|11.6142|7.41451|116.664923|51.659954|104.970161|8.06|149.7
10.08.2021  14:26:59|-100.0|11.6236|7.41449|116.601989|51.659786|104.970314|8.16|150.1
10.08.2021  14:27:07|-100.0|11.5857|7.41447|116.690227|51.659531|104.970551|8.05|151.0
10.08.2021  14:27:12|-100.0|11.6128|7.41449|116.636546|51.659374|104.970695|7.98|150.0
10.08.2021  14:27:20|-100.0|11.6086|7.41453|116.715405|51.659115|104.97094|8.06|149.5
10.08.2021  14:27:25|-100.0|11.645|7.41453|116.599225|51.658962|104.971085|7.99|149.9
10.08.2021  14:27:33|-100.0|11.6573|7.41457|116.625619|51.658691|104.971321|8.0|151.0
10.08.2021  14:27:38|-100.0|11.6619|7.41459|116.643635|51.658535|104.971466|7.98|151.1
10.08.2021  14:27:46|-100.0|11.6671|7.41462|116.676287|51.658276|104.971695|8.09|151.4
10.08.2021  14:27:51|-100.0|11.6695|7.41457|116.586861|51.658108|104.971848|8.08|151.7
10.08.2021  14:27:59|-100.0|11.7086|7.41464|116.576895|51.657852|104.972069|7.94|151.3
10.08.2021  14:28:04|-100.0|11.6953|7.41464|116.619217|51.6577|104.972221|7.78|149.4
10.08.2021  14:28:12|-100.0|11.7014|7.41462|116.567085|51.657448|104.972458|7.89|149.4
10.08.2021  14:28:17|-100.0|11.709|7.41465|116.592089|51.657288|104.97261|7.99|149.9
10.08.2021  14:28:25|-100.0|11.7428|7.41474|116.631574|51.657028|104.972847|7.99|149.8
10.08.2021  14:28:30|-100.0|11.7781|7.41477|116.568515|51.656872|104.973|8.01|148.9
10.08.2021  14:28:38|-100.0|11.7757|7.41476|116.559815|51.656612|104.973236|7.98|150.4
10.08.2021  14:28:43|-100.0|11.787|7.41479|116.573071|51.656445|104.973373|8.09|153.0
10.08.2021  14:28:51|-100.0|11.7927|7.41481|116.587572|51.656185|104.973602|8.01|150.5
10.08.2021  14:28:56|-100.0|11.7935|7.4148|116.568769|51.656025|104.97374|7.98|152.0
10.08.2021  14:29:04|-100.0|11.8135|7.41484|116.570696|51.655766|104.973969|8.07|151.5
10.08.2021  14:29:09|-100.0|11.8053|7.41478|116.498752|51.655605|104.974113|8.02|151.3
10.08.2021  14:29:17|-100.0|11.8174|7.41485|116.574611|51.65535|104.97435|7.96|149.9
10.08.2021  14:29:22|-100.0|11.7987|7.41483|116.601179|51.65519|104.974495|7.99|150.7
