Time,T,Lat,Lon,Image Time,Image T,MODIS
2022-08-03 01:59:46+08:00,12.8134,54.396488,109.357117,2022-08-03 02:07:00+08:00,14.470000000000027,MOD21_Terra_night
2021-07-26 02:19:55+08:00,15.4629,51.564621,104.129318,2021-07-26 02:06:00+08:00,17.210000000000036,MOD21_Terra_night
2024-09-24 00:13:00+08:00,11.6463,52.77557,107.62177,2024-09-24 00:22:00+08:00,12.03000000000003,MOD21_Aqua_night
2021-06-03 01:56:13+08:00,2.4731,51.526257,104.238014,2021-06-03 02:04:00+08:00,2.830000000000041,MOD21_Terra_night
2023-07-18 00:03:00+08:00,13.4281,51.584373,105.059387,2023-07-18 00:12:00+08:00,11.690000000000056,MOD21_Aqua_night
2021-09-18 02:08:23+08:00,11.9865,51.682701,103.899094,2021-09-18 02:02:00+08:00,10.930000000000009,MOD21_Terra_night
2024-06-07 00:03:00+08:00,2.856789,53.35649,108.2275,2024-06-07 00:12:00+08:00,0.5500000000000114,MOD21_Aqua_night
2023-09-29 00:12:28+08:00,12.698,53.693069,108.1847,2023-09-29 00:13:00+08:00,12.410000000000023,MOD21_Aqua_night
2021-09-23 23:56:06+08:00,11.2895,53.42923,108.972961,2021-09-24 00:09:00+08:00,10.750000000000057,MOD21_Aqua_night
2022-06-12 02:03:05+08:00,3.0034,53.460594,107.668655,2022-06-12 02:09:00+08:00,2.750000000000057,MOD21_Terra_night
2022-06-14 01:59:20+08:00,4.6942,52.034992,105.647049,2022-06-14 02:08:00+08:00,5.250000000000057,MOD21_Terra_night
2024-08-05 02:05:00+08:00,18.3394,53.48936,108.11922,2024-08-05 02:06:00+08:00,19.03000000000003,MOD21_Terra_night
2021-06-10 23:55:53+08:00,2.1591,55.33123,109.48777,2021-06-11 00:10:00+08:00,3.1100000000000136,MOD21_Aqua_night
2023-07-21 00:12:39+08:00,15.1913,52.77626,107.099815,2023-07-21 00:15:00+08:00,17.730000000000018,MOD21_Aqua_night
2022-06-09 02:01:35+08:00,2.4017,54.887249,109.595299,2022-06-09 02:06:00+08:00,3.010000000000048,MOD21_Terra_night
2024-09-20 01:54:00+08:00,12.1447,51.61963,105.09009,2024-09-20 02:04:00+08:00,11.010000000000048,MOD21_Terra_night
2024-07-29 01:44:00+08:00,20.43545,52.70393,107.19968,2024-07-29 01:57:00+08:00,22.71000000000004,MOD21_Terra_night
2023-09-24 00:04:31+08:00,13.4901,53.098709,108.136528,2023-09-24 00:12:00+08:00,14.83000000000004,MOD21_Aqua_night
2021-07-28 02:00:07+08:00,15.1756,52.629528,106.683418,2021-07-28 02:04:00+08:00,15.370000000000005,MOD21_Terra_night
2022-08-02 01:54:12+08:00,13.8622,53.435467,108.547943,2022-08-02 02:03:00+08:00,13.850000000000025,MOD21_Terra_night
